Filename,EventNum,GT ICs,GT FOs,IMU ICs,IMU FOs,GTStrideTime,IMUStrideTime,GTStanceTime,IMUStanceTime,GTSwingTime,IMUSwingTime
TF_06_0027.c3d,Event6,564.0,655.0,583.0,643.0,139.0,121.0,91.0,60.0,48.0,61.0
TF_06_0027.c3d,Event7,634.0,715.0,636.0,721.0,127.0,127.0,81.0,85.0,46.0,42.0
TF_07_0025.c3d,Event4,532.0,606.0,538.0,616.0,124.0,122.0,74.0,78.0,50.0,44.0
TF_07_0025.c3d,Event5,596.0,673.0,596.0,682.0,124.0,120.0,77.0,86.0,47.0,34.0
TF_07_0026.c3d,Event4,475.0,546.0,478.0,555.0,125.0,129.0,71.0,77.0,54.0,52.0
TF_07_0026.c3d,Event5,537.0,616.0,545.0,628.0,124.0,116.0,79.0,83.0,45.0,33.0
TF_07_0027.c3d,Event4,483.0,551.0,492.0,554.0,114.0,116.0,68.0,62.0,46.0,54.0
TF_07_0027.c3d,Event5,541.0,618.0,543.0,630.0,121.0,121.0,77.0,87.0,44.0,34.0
TF_07_0027.c3d,Event6,597.0,674.0,608.0,684.0,129.0,121.0,77.0,76.0,52.0,45.0
TF_08_0025.c3d,Event4,413.0,477.0,415.0,486.0,104.0,106.0,64.0,71.0,40.0,35.0
TF_08_0025.c3d,Event5,466.0,530.0,468.0,538.0,108.0,107.0,64.0,70.0,44.0,37.0
TF_08_0025.c3d,Event6,517.0,588.0,521.0,585.0,110.0,108.0,71.0,64.0,39.0,44.0
TF_08_0025.c3d,Event7,574.0,635.0,575.0,645.0,103.0,105.0,61.0,70.0,42.0,35.0
TF_08_0026.c3d,Event4,406.0,471.0,407.0,468.0,109.0,111.0,65.0,61.0,44.0,50.0
TF_08_0026.c3d,Event5,459.0,529.0,459.0,539.0,114.0,116.0,70.0,80.0,44.0,36.0
TF_08_0026.c3d,Event6,515.0,589.0,518.0,596.0,112.0,112.0,74.0,78.0,38.0,34.0
TF_08_0026.c3d,Event7,573.0,635.0,575.0,646.0,108.0,107.0,62.0,71.0,46.0,36.0
TF_09_0029.c3d,Event2,345.0,407.0,346.0,410.0,105.0,108.0,62.0,64.0,43.0,44.0
TF_09_0029.c3d,Event3,398.0,465.0,399.0,475.0,114.0,115.0,67.0,76.0,47.0,39.0
TF_09_0029.c3d,Event4,450.0,522.0,454.0,530.0,126.0,123.0,72.0,76.0,54.0,47.0
TF_09_0029.c3d,Event5,512.0,590.0,514.0,584.0,120.0,119.0,78.0,70.0,42.0,49.0
TF_09_0030.c3d,Event4,392.0,453.0,402.0,454.0,106.0,96.0,61.0,52.0,45.0,44.0
TF_09_0030.c3d,Event5,443.0,508.0,446.0,518.0,111.0,109.0,65.0,72.0,46.0,37.0
TF_09_0031.c3d,Event3,333.0,395.0,335.0,406.0,110.0,113.0,62.0,71.0,48.0,42.0
TF_09_0031.c3d,Event4,383.0,458.0,397.0,459.0,113.0,101.0,75.0,62.0,38.0,39.0
TF_09_0031.c3d,Event5,443.0,509.0,448.0,517.0,107.0,104.0,66.0,69.0,41.0,35.0
TF_10_0026.c3d,Event4,374.0,440.0,375.0,450.0,110.0,112.0,66.0,75.0,44.0,37.0
TF_10_0026.c3d,Event5,430.0,498.0,432.0,505.0,107.0,107.0,68.0,73.0,39.0,34.0
TF_10_0026.c3d,Event6,484.0,549.0,487.0,559.0,106.0,106.0,65.0,72.0,41.0,34.0
TF_10_0027.c3d,Event4,395.0,455.0,395.0,465.0,106.0,106.0,60.0,70.0,46.0,36.0
TF_10_0027.c3d,Event5,449.0,513.0,447.0,518.0,107.0,108.0,64.0,71.0,43.0,37.0
TF_10_0027.c3d,Event6,501.0,565.0,501.0,574.0,105.0,105.0,64.0,73.0,41.0,32.0
TF_10_0028.c3d,Event4,386.0,453.0,391.0,458.0,103.0,103.0,67.0,67.0,36.0,36.0
TF_10_0028.c3d,Event5,439.0,502.0,445.0,503.0,100.0,95.0,63.0,58.0,37.0,37.0
TF_10_0028.c3d,Event6,489.0,552.0,494.0,559.0,100.0,99.0,63.0,65.0,37.0,34.0
TF_11_0027.c3d,Event4,385.0,452.0,388.0,454.0,109.0,108.0,67.0,66.0,42.0,42.0
TF_11_0027.c3d,Event5,444.0,505.0,443.0,514.0,103.0,105.0,61.0,71.0,42.0,34.0
TF_11_0027.c3d,Event6,494.0,559.0,496.0,561.0,105.0,103.0,65.0,65.0,40.0,38.0
TF_11_0028.c3d,Event3,334.0,396.0,334.0,407.0,102.0,111.0,62.0,73.0,40.0,38.0
TF_11_0028.c3d,Event4,387.0,448.0,386.0,457.0,105.0,103.0,61.0,71.0,44.0,32.0
TF_11_0028.c3d,Event5,436.0,501.0,445.0,508.0,109.0,99.0,65.0,63.0,44.0,36.0
TF_11_0029.c3d,Event3,335.0,396.0,337.0,402.0,102.0,101.0,61.0,65.0,41.0,36.0
TF_11_0029.c3d,Event4,388.0,446.0,389.0,449.0,99.0,101.0,58.0,60.0,41.0,41.0
TF_11_0029.c3d,Event5,437.0,496.0,438.0,500.0,100.0,101.0,59.0,62.0,41.0,39.0
TF_11_0029.c3d,Event6,487.0,547.0,490.0,553.0,100.0,99.0,60.0,63.0,40.0,36.0
TF_12_0024.c3d,Event5,441.0,512.0,442.0,514.0,119.0,119.0,71.0,72.0,48.0,47.0
TF_12_0024.c3d,Event6,499.0,572.0,506.0,564.0,121.0,105.0,73.0,58.0,48.0,47.0
TF_12_0024.c3d,Event7,560.0,628.0,561.0,621.0,111.0,105.0,68.0,60.0,43.0,45.0
TF_12_0025.c3d,Event5,398.0,468.0,400.0,484.0,120.0,121.0,70.0,84.0,50.0,37.0
TF_12_0025.c3d,Event6,453.0,530.0,458.0,540.0,125.0,122.0,77.0,82.0,48.0,40.0
TF_12_0025.c3d,Event7,518.0,583.0,521.0,591.0,110.0,110.0,65.0,70.0,45.0,40.0
TF_12_0025.c3d,Event8,578.0,637.0,580.0,641.0,102.0,102.0,59.0,61.0,43.0,41.0
TF_12_0025.c3d,Event9,628.0,688.0,631.0,693.0,104.0,104.0,60.0,62.0,44.0,42.0
TF_12_0025.c3d,Event10,680.0,,682.0,,,,,,,
TF_12_0025.c3d,Event11,732.0,,735.0,,,,,,,
TF_12_0026.c3d,Event3,344.0,406.0,343.0,407.0,102.0,104.0,62.0,64.0,40.0,40.0
TF_12_0026.c3d,Event4,397.0,460.0,396.0,458.0,106.0,107.0,63.0,62.0,43.0,45.0
TF_12_0026.c3d,Event5,446.0,514.0,447.0,522.0,116.0,116.0,68.0,75.0,48.0,41.0
TF_12_0026.c3d,Event6,503.0,572.0,503.0,579.0,115.0,115.0,69.0,76.0,46.0,39.0
TF_12_0026.c3d,Event7,562.0,624.0,563.0,629.0,107.0,105.0,62.0,66.0,45.0,39.0
TF_13_0023.c3d,Event4,383.0,445.0,388.0,451.0,104.0,101.0,62.0,63.0,42.0,38.0
TF_13_0023.c3d,Event5,433.0,494.0,438.0,499.0,107.0,103.0,61.0,61.0,46.0,42.0
TF_13_0023.c3d,Event6,487.0,552.0,489.0,550.0,104.0,103.0,65.0,61.0,39.0,42.0
TF_13_0024.c3d,Event4,369.0,432.0,376.0,439.0,104.0,98.0,63.0,63.0,41.0,35.0
TF_13_0024.c3d,Event5,419.0,479.0,428.0,484.0,101.0,101.0,60.0,56.0,41.0,45.0
TF_13_0024.c3d,Event6,473.0,536.0,474.0,542.0,102.0,103.0,63.0,68.0,39.0,35.0
TF_13_0024.c3d,Event7,520.0,582.0,529.0,588.0,103.0,103.0,62.0,59.0,41.0,44.0
TF_13_0025.c3d,Event5,373.0,437.0,381.0,442.0,106.0,106.0,64.0,61.0,42.0,45.0
TF_13_0025.c3d,Event6,430.0,491.0,432.0,498.0,102.0,103.0,61.0,66.0,41.0,37.0
TF_13_0025.c3d,Event7,479.0,540.0,487.0,550.0,104.0,98.0,61.0,63.0,43.0,35.0
