Filename,EventNum,GT ICs,GT FOs,IMU ICs,IMU FOs,GTStrideTime,IMUStrideTime,GTStanceTime,IMUStanceTime,GTSwingTime,IMUSwingTime
TF_03_0020.c3d,Event5,272.0,332.0,272.0,331.0,100.0,100.0,60.0,59.0,40.0,41.0
TF_03_0020.c3d,Event6,322.0,380.0,322.0,381.0,102.0,102.0,58.0,59.0,44.0,43.0
TF_03_0020.c3d,Event7,372.0,433.0,372.0,430.0,103.0,102.0,61.0,58.0,42.0,44.0
TF_03_0020.c3d,Event8,424.0,,424.0,,,,,,,
TF_03_0020.c3d,Event9,475.0,,474.0,,,,,,,
TF_04_0013.c3d,Event1,149.0,213.0,151.0,214.0,102.0,102.0,64.0,63.0,38.0,39.0
TF_04_0013.c3d,Event2,200.0,263.0,202.0,266.0,101.0,101.0,63.0,64.0,38.0,37.0
TF_04_0013.c3d,Event3,251.0,314.0,253.0,316.0,100.0,100.0,63.0,63.0,37.0,37.0
TF_04_0013.c3d,Event4,301.0,364.0,303.0,367.0,101.0,101.0,63.0,64.0,38.0,37.0
TF_04_0013.c3d,Event5,351.0,415.0,353.0,415.0,102.0,102.0,64.0,62.0,38.0,40.0
TF_04_0013.c3d,Event6,402.0,466.0,404.0,469.0,102.0,102.0,64.0,65.0,38.0,37.0
TF_04_0013.c3d,Event7,453.0,516.0,455.0,517.0,103.0,101.0,63.0,62.0,40.0,39.0
TF_04_0013.c3d,Event8,504.0,,506.0,,,,,,,
TF_04_0013.c3d,Event9,556.0,,556.0,,,,,,,
TF_04_0014.c3d,Event1,78.0,144.0,81.0,143.0,102.0,102.0,66.0,62.0,36.0,40.0
TF_04_0014.c3d,Event2,130.0,194.0,133.0,195.0,102.0,101.0,64.0,62.0,38.0,39.0
TF_04_0014.c3d,Event3,180.0,244.0,183.0,245.0,104.0,103.0,64.0,62.0,40.0,41.0
TF_04_0014.c3d,Event4,232.0,295.0,234.0,298.0,104.0,104.0,63.0,64.0,41.0,40.0
TF_04_0014.c3d,Event5,284.0,348.0,286.0,349.0,104.0,104.0,64.0,63.0,40.0,41.0
TF_04_0014.c3d,Event6,336.0,,338.0,,,,,,,
TF_04_0014.c3d,Event7,388.0,,390.0,,,,,,,
TF_04_0015.c3d,Event1,58.0,122.0,59.0,124.0,104.0,104.0,64.0,65.0,40.0,39.0
TF_04_0015.c3d,Event2,110.0,174.0,111.0,176.0,102.0,103.0,64.0,65.0,38.0,38.0
TF_04_0015.c3d,Event3,162.0,223.0,163.0,225.0,102.0,101.0,61.0,62.0,41.0,39.0
TF_04_0015.c3d,Event4,212.0,275.0,214.0,277.0,102.0,101.0,63.0,63.0,39.0,38.0
TF_04_0015.c3d,Event5,264.0,326.0,264.0,328.0,100.0,102.0,62.0,64.0,38.0,38.0
TF_04_0015.c3d,Event6,314.0,379.0,315.0,377.0,104.0,104.0,65.0,62.0,39.0,42.0
TF_04_0015.c3d,Event7,364.0,,366.0,,,,,,,
TF_04_0015.c3d,Event8,418.0,,419.0,,,,,,,
TF_05_0010.c3d,Event1,180.0,259.0,182.0,264.0,122.0,119.0,79.0,82.0,43.0,37.0
TF_05_0010.c3d,Event2,243.0,319.0,244.0,317.0,117.0,115.0,76.0,73.0,41.0,42.0
TF_05_0010.c3d,Event3,302.0,375.0,301.0,379.0,118.0,119.0,73.0,78.0,45.0,41.0
TF_05_0010.c3d,Event4,360.0,435.0,359.0,438.0,116.0,118.0,75.0,79.0,41.0,39.0
TF_05_0010.c3d,Event5,420.0,492.0,420.0,497.0,115.0,114.0,72.0,77.0,43.0,37.0
TF_05_0010.c3d,Event6,476.0,551.0,477.0,545.0,118.0,116.0,75.0,68.0,43.0,48.0
TF_05_0010.c3d,Event7,535.0,609.0,534.0,615.0,116.0,117.0,74.0,81.0,42.0,36.0
TF_05_0010.c3d,Event8,594.0,667.0,593.0,665.0,113.0,114.0,73.0,72.0,40.0,42.0
TF_05_0010.c3d,Event9,651.0,,651.0,,,,,,,
TF_05_0010.c3d,Event10,707.0,,707.0,,,,,,,
TF_05_0011.c3d,Event1,185.0,262.0,189.0,264.0,116.0,115.0,77.0,75.0,39.0,40.0
TF_05_0011.c3d,Event2,245.0,317.0,248.0,323.0,115.0,113.0,72.0,75.0,43.0,38.0
TF_05_0011.c3d,Event3,301.0,376.0,304.0,382.0,117.0,116.0,75.0,78.0,42.0,38.0
TF_05_0011.c3d,Event4,360.0,432.0,361.0,439.0,115.0,116.0,72.0,78.0,43.0,38.0
TF_05_0011.c3d,Event5,418.0,492.0,420.0,498.0,115.0,115.0,74.0,78.0,41.0,37.0
