Filename,EventNum,GT ICs,GT FOs,IMU ICs,IMU FOs,GTStrideTime,IMUStrideTime,GTStanceTime,IMUStanceTime,GTSwingTime,IMUSwingTime
TF_06_0027.c3d,Event7,634.0,715.0,636.0,715.0,127.0,124.0,81.0,79.0,46.0,45.0
TF_07_0025.c3d,Event4,532.0,606.0,534.0,608.0,124.0,125.0,74.0,74.0,50.0,51.0
TF_07_0025.c3d,Event5,596.0,673.0,597.0,667.0,124.0,123.0,77.0,70.0,47.0,53.0
TF_07_0026.c3d,Event4,475.0,546.0,481.0,551.0,125.0,121.0,71.0,70.0,54.0,51.0
TF_07_0026.c3d,Event5,537.0,616.0,542.0,618.0,124.0,120.0,79.0,76.0,45.0,44.0
TF_07_0027.c3d,Event4,483.0,551.0,489.0,553.0,114.0,116.0,68.0,64.0,46.0,52.0
TF_07_0027.c3d,Event5,541.0,618.0,548.0,618.0,121.0,117.0,77.0,70.0,44.0,47.0
TF_07_0027.c3d,Event6,597.0,674.0,605.0,678.0,129.0,122.0,77.0,73.0,52.0,49.0
TF_08_0025.c3d,Event4,413.0,477.0,419.0,484.0,104.0,107.0,64.0,65.0,40.0,42.0
TF_08_0025.c3d,Event5,466.0,530.0,473.0,528.0,108.0,105.0,64.0,55.0,44.0,50.0
TF_08_0025.c3d,Event6,517.0,588.0,526.0,590.0,110.0,104.0,71.0,64.0,39.0,40.0
TF_08_0025.c3d,Event7,574.0,635.0,578.0,643.0,103.0,104.0,61.0,65.0,42.0,39.0
TF_08_0026.c3d,Event4,406.0,471.0,409.0,484.0,109.0,111.0,65.0,75.0,44.0,36.0
TF_08_0026.c3d,Event5,459.0,529.0,463.0,532.0,114.0,115.0,70.0,69.0,44.0,46.0
TF_08_0026.c3d,Event6,515.0,589.0,520.0,599.0,112.0,111.0,74.0,79.0,38.0,32.0
TF_08_0026.c3d,Event7,573.0,635.0,578.0,642.0,108.0,105.0,62.0,64.0,46.0,41.0
TF_09_0029.c3d,Event2,345.0,407.0,346.0,411.0,105.0,113.0,62.0,65.0,43.0,48.0
TF_09_0029.c3d,Event3,398.0,465.0,403.0,480.0,114.0,115.0,67.0,77.0,47.0,38.0
