Filename,EventNum,GT ICs,GT FOs,IMU ICs,IMU FOs,GTStrideTime,IMUStrideTime,GTStanceTime,IMUStanceTime,GTSwingTime,IMUSwingTime
TF_03_0020.c3d,Event5,272.0,332.0,270.0,332.0,100.0,102.0,60.0,62.0,40.0,40.0
TF_03_0020.c3d,Event6,322.0,380.0,321.0,380.0,102.0,102.0,58.0,59.0,44.0,43.0
TF_03_0020.c3d,Event7,372.0,433.0,372.0,435.0,103.0,102.0,61.0,63.0,42.0,39.0
TF_03_0020.c3d,Event8,424.0,,423.0,,,,,,,
TF_03_0020.c3d,Event9,475.0,,474.0,,,,,,,
TF_04_0013.c3d,Event1,149.0,213.0,151.0,213.0,102.0,102.0,64.0,62.0,38.0,40.0
TF_04_0013.c3d,Event2,200.0,263.0,203.0,265.0,101.0,101.0,63.0,62.0,38.0,39.0
TF_04_0013.c3d,Event3,251.0,314.0,253.0,317.0,100.0,102.0,63.0,64.0,37.0,38.0
TF_04_0013.c3d,Event4,301.0,364.0,304.0,368.0,101.0,102.0,63.0,64.0,38.0,38.0
TF_04_0013.c3d,Event5,351.0,415.0,355.0,417.0,102.0,102.0,64.0,62.0,38.0,40.0
TF_04_0013.c3d,Event6,402.0,466.0,406.0,466.0,102.0,103.0,64.0,60.0,38.0,43.0
TF_04_0013.c3d,Event7,453.0,516.0,457.0,518.0,103.0,103.0,63.0,61.0,40.0,42.0
TF_04_0013.c3d,Event8,504.0,,509.0,,,,,,,
TF_04_0013.c3d,Event9,556.0,,560.0,,,,,,,
TF_04_0014.c3d,Event1,78.0,144.0,82.0,144.0,102.0,103.0,66.0,62.0,36.0,41.0
TF_04_0014.c3d,Event2,130.0,194.0,134.0,197.0,102.0,101.0,64.0,63.0,38.0,38.0
TF_04_0014.c3d,Event3,180.0,244.0,185.0,244.0,104.0,102.0,64.0,59.0,40.0,43.0
TF_04_0014.c3d,Event4,232.0,295.0,235.0,299.0,104.0,104.0,63.0,64.0,41.0,40.0
TF_04_0014.c3d,Event5,284.0,348.0,287.0,349.0,104.0,104.0,64.0,62.0,40.0,42.0
TF_04_0014.c3d,Event6,336.0,,339.0,,,,,,,
TF_04_0014.c3d,Event7,388.0,,391.0,,,,,,,
TF_04_0015.c3d,Event1,58.0,122.0,60.0,125.0,104.0,103.0,64.0,65.0,40.0,38.0
TF_04_0015.c3d,Event2,110.0,174.0,112.0,175.0,102.0,102.0,64.0,63.0,38.0,39.0
TF_04_0015.c3d,Event3,162.0,223.0,163.0,225.0,102.0,102.0,61.0,62.0,41.0,40.0
TF_04_0015.c3d,Event4,212.0,275.0,214.0,275.0,102.0,102.0,63.0,61.0,39.0,41.0
TF_04_0015.c3d,Event5,264.0,326.0,265.0,329.0,100.0,102.0,62.0,64.0,38.0,38.0
TF_04_0015.c3d,Event6,314.0,379.0,316.0,380.0,104.0,104.0,65.0,64.0,39.0,40.0
TF_04_0015.c3d,Event7,364.0,,367.0,,,,,,,
TF_04_0015.c3d,Event8,418.0,,420.0,,,,,,,
TF_05_0010.c3d,Event1,180.0,259.0,182.0,262.0,122.0,119.0,79.0,80.0,43.0,39.0
TF_05_0010.c3d,Event2,243.0,319.0,242.0,314.0,117.0,118.0,76.0,72.0,41.0,46.0
TF_05_0010.c3d,Event3,302.0,375.0,301.0,376.0,118.0,118.0,73.0,75.0,45.0,43.0
TF_05_0010.c3d,Event4,360.0,435.0,360.0,436.0,116.0,117.0,75.0,76.0,41.0,41.0
TF_05_0010.c3d,Event5,420.0,492.0,419.0,491.0,115.0,116.0,72.0,72.0,43.0,44.0
TF_05_0010.c3d,Event6,476.0,551.0,477.0,546.0,118.0,117.0,75.0,69.0,43.0,48.0
